City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
605,Vieux-Habitants,GP,16.0589,-61.7659,85.57,66,2,11.95,clear sky
606,Pogradec,AL,40.9025,20.6525,51.8,59,0,4.18,clear sky
607,Paita,PE,-5.0892,-81.1144,75.76,68,63,9.35,broken clouds
608,Chateaubelair,VC,13.2833,-61.25,86.61,70,75,9.22,broken clouds
609,Biltine,TD,14.5333,20.9167,92.93,13,82,8.1,broken clouds
610,Bardiyah,LY,31.7561,25.0865,72.63,64,28,9.71,scattered clouds
611,Pochutla,MX,15.7432,-96.4661,83.82,65,98,4.43,overcast clouds
612,Yaya,RU,56.206,86.44,26.26,63,87,10.33,overcast clouds
613,Salinopolis,BR,-0.6136,-47.3561,84.61,69,28,7.61,scattered clouds
614,Seymchan,RU,62.8833,152.4333,5.9,87,100,7.56,overcast clouds
615,Pareora,NZ,-44.4871,171.2132,51.19,97,2,16.33,clear sky
616,Svetlyy,RU,54.675,20.1347,50.05,61,20,9.31,few clouds
617,Okoneshnikovo,RU,54.8377,75.0834,29.19,41,100,10.8,overcast clouds
618,Sumenep,ID,-7.0167,113.8667,82.98,75,100,3.83,heavy intensity rain
619,Neiafu,TO,-18.65,-173.9833,77.68,69,75,8.05,broken clouds
620,Nouadhibou,MR,20.931,-17.0347,76.98,61,5,12.66,clear sky
621,Tommot,RU,58.9564,126.2925,11.23,91,22,2.82,few clouds
622,Bronnoysund,NO,65.4625,12.1997,50.0,87,90,13.8,overcast clouds
623,Viransehir,TR,37.2353,39.7631,61.68,65,83,15.5,broken clouds
624,Dwarka,IN,22.2394,68.9678,81.95,49,52,9.33,broken clouds
625,Faya,SA,18.3851,42.4509,70.32,34,53,9.78,broken clouds
626,Lufilufi,WS,-13.8745,-171.5986,74.98,76,100,19.66,overcast clouds
627,Severo-Yeniseyskiy,RU,60.3725,93.0408,16.52,81,100,13.22,overcast clouds
628,Vega De Alatorre,MX,20.0333,-96.6333,79.12,59,37,3.74,scattered clouds
629,Kurayoshi,JP,35.4333,133.8167,57.02,74,100,4.63,moderate rain
630,Montanha,BR,-18.1269,-40.3633,83.37,54,76,9.73,broken clouds
631,Namibe,AO,-15.1961,12.1522,71.08,72,76,10.58,broken clouds
632,Ejura,GH,7.3856,-1.3562,87.44,62,100,1.54,overcast clouds
633,Ambulu,ID,-8.345,113.6058,76.93,91,77,2.57,broken clouds
634,Kingston,JM,17.997,-76.7936,86.95,72,20,8.01,few clouds
635,Liverpool,GB,53.4106,-2.9779,55.35,73,40,1.01,scattered clouds
636,Conceicao Do Araguaia,BR,-8.2578,-49.2647,97.14,30,42,6.44,scattered clouds
637,Deputatskiy,RU,69.3,139.9,-8.28,99,93,5.77,overcast clouds
638,Tianpeng,CN,30.9866,103.9393,61.27,88,100,5.08,light rain
639,Saint-Augustin,CA,51.226,-58.6502,51.3,32,6,5.68,clear sky
640,Pendleton,US,45.6721,-118.7886,41.43,81,75,0.0,broken clouds
641,Bongandanga,CD,1.5,21.05,75.76,88,100,2.68,overcast clouds
642,Iwanai,JP,42.9744,140.5089,44.06,83,94,3.98,overcast clouds
643,Rayong,TH,12.8333,101.4333,81.79,99,100,2.55,overcast clouds
644,Carballo,ES,43.213,-8.691,64.87,83,100,7.09,overcast clouds
645,Constitucion,CL,-35.3333,-72.4167,65.53,58,100,13.73,overcast clouds
646,Darhan,MN,49.4867,105.9228,31.89,45,2,7.52,clear sky
647,Riverton,US,40.5219,-111.9391,57.85,62,1,5.01,clear sky
648,Gualeguaychu,AR,-33.0094,-58.5172,89.04,32,3,9.53,clear sky
649,Changping,CN,40.2186,116.2197,58.96,29,100,18.01,overcast clouds
650,Tangkak,MY,2.2673,102.5453,78.67,93,98,2.37,overcast clouds
651,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,92.79,49,41,2.35,scattered clouds
652,Kenner,US,29.9941,-90.2417,63.0,66,11,8.01,few clouds
653,Yabrud,SY,33.9674,36.6574,62.26,54,88,3.38,overcast clouds
654,Itarema,BR,-2.9248,-39.9167,85.68,59,58,14.12,broken clouds
655,Caxito,AO,-8.5785,13.6643,81.25,70,90,10.42,overcast clouds
656,Hirara,JP,24.8,125.2833,75.43,74,72,12.68,broken clouds
657,Coari,BR,-4.085,-63.1414,92.71,48,80,1.63,broken clouds
658,Takoradi,GH,4.8845,-1.7554,83.19,74,87,11.23,overcast clouds
659,Pozo Colorado,PY,-23.4923,-58.7972,71.65,95,100,1.61,overcast clouds
660,Nantucket,US,41.2835,-70.0995,61.03,91,46,22.75,scattered clouds
661,Krasnoselkup,RU,65.7,82.4667,1.38,100,90,4.94,overcast clouds
662,Reoti,IN,25.85,84.3833,70.34,57,13,6.58,few clouds
663,Mindelo,CV,16.8901,-24.9804,81.95,61,40,23.02,scattered clouds
664,Maldonado,UY,-34.6667,-54.9167,79.99,57,44,11.39,scattered clouds
665,Morondava,MG,-20.2833,44.2833,76.1,74,14,12.73,few clouds
666,Coahuayana,MX,18.7333,-103.6833,85.17,66,0,0.69,clear sky
667,Manakara,MG,-22.1333,48.0167,71.55,79,85,7.7,overcast clouds
668,Chimbote,PE,-9.0853,-78.5783,65.17,79,96,6.4,overcast clouds
669,Farafangana,MG,-22.8167,47.8333,71.08,76,58,7.61,broken clouds
670,Cristalina,BR,-16.7686,-47.6136,82.35,34,67,6.53,broken clouds
671,Trutnov,CZ,50.561,15.9127,56.66,57,81,14.81,broken clouds
672,Abu Kamal,SY,34.4506,40.9171,77.99,32,100,10.94,overcast clouds
673,Atar,MR,20.5169,-13.0499,80.65,47,100,6.91,overcast clouds
674,Moerai,PF,-22.4333,-151.3333,71.67,61,12,16.62,few clouds
675,Kapoeta,SS,4.7717,33.5903,88.11,32,54,12.08,broken clouds
676,Batagay,RU,67.6333,134.6333,-6.56,99,73,2.89,broken clouds
677,Pontes E Lacerda,BR,-15.2261,-59.3353,100.65,31,19,2.59,few clouds
678,Rabo De Peixe,PT,37.8,-25.5833,74.28,91,75,17.27,broken clouds
