City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
544,Sao Joao Da Barra,BR,77.09,-21.6403,-41.0511,overcast clouds,Pousada Porto De Canoas
548,Sibu,MY,80.91,2.3,111.8167,scattered clouds,RH HOTEL (4 Star)
551,Tiarei,PF,75.22,-17.5333,-149.3333,few clouds,Le Rocher de Tahiti
554,Boda,CF,78.6,4.3189,17.4695,light rain,
564,Kavieng,PG,83.16,-2.5744,150.7967,broken clouds,Nusa Island Retreat
567,Hambantota,LK,75.54,6.1241,81.1185,scattered clouds,Bungalow 63
569,Buraydah,SA,86.45,26.326,43.975,clear sky,فندق راحة السلام
572,Banjar,ID,78.66,-8.19,114.9675,overcast clouds,The Hamsa Resort
576,Port Blair,IN,81.45,11.6667,92.75,overcast clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
581,Ixtapa,MX,82.22,20.7,-105.2,clear sky,Hotel Plaza Providencia
585,High Rock,BS,82.42,26.6208,-78.2833,scattered clouds,Hideaway Bahamas Beach Club
586,Namatanai,PG,79.25,-3.6667,152.4333,moderate rain,Seagulls Inn Namatani
592,Vanimo,PG,78.49,-2.6741,141.3028,broken clouds,Vahmoneh Lodge Vanimo
594,Karoi,ZW,81.9,-16.8099,29.6925,overcast clouds,Chikangwe Guest houses
595,Awbari,LY,80.24,26.5921,12.7805,clear sky,فندق أوباري
596,Bhinmal,IN,77.61,25.0,72.25,few clouds,Jambheswar Bhavan(Gopi Khilery)
597,Yacuiba,BO,83.34,-22.038,-63.6797,overcast clouds,Hotel Monumental
598,San Rafael,AR,76.33,-34.6177,-68.3301,broken clouds,Hotel San Rafael
604,Cabinda,AO,79.61,-5.55,12.2,overcast clouds,Hotel Maiombe
605,Vieux-Habitants,GP,85.57,16.0589,-61.7659,clear sky,Gîtes Dardanelle
607,Paita,PE,75.76,-5.0892,-81.1144,broken clouds,Hotel Náutico de Paita
608,Chateaubelair,VC,86.61,13.2833,-61.25,broken clouds,Richmond Vale Diving & Hiking Center
611,Pochutla,MX,83.82,15.7432,-96.4661,overcast clouds,Hotel Posada San Jose
613,Salinopolis,BR,84.61,-0.6136,-47.3561,scattered clouds,Salinas Park Resort Maçarico AP101
618,Sumenep,ID,82.98,-7.0167,113.8667,heavy intensity rain,OYO 3271 Homestay Pandian
619,Neiafu,TO,77.68,-18.65,-173.9833,broken clouds,Mystic Sands Beachfront Accommodation
620,Nouadhibou,MR,76.98,20.931,-17.0347,clear sky,El Medina
624,Dwarka,IN,81.95,22.2394,68.9678,broken clouds,Hotel Narayan Avezika Comfort
628,Vega De Alatorre,MX,79.12,20.0333,-96.6333,scattered clouds,El Polo Norte
630,Montanha,BR,83.37,-18.1269,-40.3633,broken clouds,Hotel Boldrini
632,Ejura,GH,87.44,7.3856,-1.3562,overcast clouds,Fire Servece
633,Ambulu,ID,76.93,-8.345,113.6058,broken clouds,Hotel Ambulu Jember
634,Kingston,JM,86.95,17.997,-76.7936,few clouds,The Jamaica Pegasus Hotel
641,Bongandanga,CD,75.76,1.5,21.05,overcast clouds,
643,Rayong,TH,81.79,12.8333,101.4333,overcast clouds,Suan Palm Garden View Hotel
648,Gualeguaychu,AR,89.04,-33.0094,-58.5172,clear sky,Hotel Los Angeles
650,Tangkak,MY,78.67,2.2673,102.5453,overcast clouds,Lakeside Village Homestay 水乡民宿
654,Itarema,BR,85.68,-2.9248,-39.9167,broken clouds,"Sea Lounge! Bar, Club & Restaurant"
655,Caxito,AO,81.25,-8.5785,13.6643,overcast clouds,
656,Hirara,JP,75.43,24.8,125.2833,broken clouds,Hotel Atoll Emerald Miyakojima
658,Takoradi,GH,83.19,4.8845,-1.7554,overcast clouds,Raybow International Hotel
663,Mindelo,CV,81.95,16.8901,-24.9804,scattered clouds,Hotel Gaudi
664,Maldonado,UY,79.99,-34.6667,-54.9167,scattered clouds,La Cimarrona
665,Morondava,MG,76.1,-20.2833,44.2833,few clouds,La Case Bambou
666,Coahuayana,MX,85.17,18.7333,-103.6833,clear sky,El rranchito michuacan de ocampos
670,Cristalina,BR,82.35,-16.7686,-47.6136,broken clouds,HOTEL TOPAZIO
672,Abu Kamal,SY,77.99,34.4506,40.9171,overcast clouds,محطة التلفاز
673,Atar,MR,80.65,20.5169,-13.0499,overcast clouds,Oumou Elghoura
675,Kapoeta,SS,88.11,4.7717,33.5903,broken clouds,Eastgate Hotel
